datetime,open,close,high,low,volume
2019-12-24 15:00:00,1.013,1.016,1.019,1.009,43977212.0
2019-12-25 15:00:00,1.011,1.017,1.017,1.011,19269988.0
2019-12-26 15:00:00,1.014,1.014,1.015,1.012,6663502.0
2019-12-27 15:00:00,1.015,1.016,1.018,1.013,15659583.0
2019-12-30 15:00:00,1.015,1.014,1.016,1.011,5374263.0
2019-12-31 15:00:00,1.012,1.012,1.013,1.009,2092406.0
2020-01-02 15:00:00,1.013,1.009,1.015,1.008,7562241.0
2020-01-03 15:00:00,1.008,1.001,1.008,1.0,7421357.0
2020-01-06 15:00:00,1.0,1.001,1.004,1.0,6029767.0
2020-01-07 15:00:00,1.001,1.005,1.005,1.001,4168802.0
2020-01-08 15:00:00,1.005,1.006,1.007,1.003,7740224.0
2020-01-09 15:00:00,1.008,1.011,1.013,1.008,6435138.0
2020-01-10 15:00:00,1.011,1.013,1.013,1.009,3455044.0
2020-01-13 15:00:00,1.014,1.012,1.014,1.009,1741107.0
2020-01-14 15:00:00,1.01,1.009,1.012,1.007,4536701.0
2020-01-15 15:00:00,1.01,1.012,1.013,1.01,2089816.0
2020-01-16 15:00:00,1.014,1.018,1.019,1.014,3799831.0
2020-01-17 15:00:00,1.015,1.018,1.02,1.015,6586233.0
2020-01-20 15:00:00,1.015,1.016,1.017,1.014,906235.0
2020-01-21 15:00:00,1.014,1.003,1.014,1.003,3864719.0
2020-01-22 15:00:00,1.003,1.008,1.009,1.003,1384037.0
2020-01-23 15:00:00,1.002,0.997,1.005,0.995,3261403.0
2020-02-03 15:00:00,0.959,0.939,0.959,0.897,1985811.0
2020-02-04 15:00:00,0.94,0.95,0.95,0.94,1955909.0
2020-02-05 15:00:00,0.95,0.954,0.957,0.948,2650110.0
2020-02-06 15:00:00,0.956,0.96,0.963,0.955,414101.0
2020-02-07 15:00:00,0.958,0.956,0.96,0.956,463611.0
2020-02-10 15:00:00,0.956,0.954,0.956,0.952,777800.0
2020-02-11 15:00:00,0.954,0.957,0.959,0.954,598702.0
2020-02-12 15:00:00,0.957,0.959,0.965,0.955,2715000.0
2020-02-13 15:00:00,0.959,0.961,0.963,0.958,464106.0
2020-02-14 15:00:00,0.961,0.962,0.966,0.96,279800.0
2020-02-17 15:00:00,0.962,0.968,0.97,0.959,653401.0
2020-02-18 15:00:00,0.964,0.968,0.969,0.963,248300.0
2020-02-19 15:00:00,0.963,0.969,0.97,0.963,299900.0
2020-02-20 15:00:00,0.97,0.966,0.97,0.964,703700.0
